,name,Number of param,Train f1,Val f1,Test f1,time(sec)
0,ViT patch size 7 |dim 64 |depth 6 |head 4 |drop 0.0,499722,0.8666025267296782,0.8721535215035399,0.8721233708843306,539.67
1,ViT patch size 7 |dim 64 |depth 3 |head 8 |drop 0.0,449034,0.8676242515770098,0.8733301521298733,0.8718072514055641,360.61
2,ViT patch size 7 |dim 64 |depth 3 |head 4 |drop 0.0,252426,0.8683863724276423,0.8710754977261767,0.8717193377245763,430.38
3,ViT patch size 14 |dim 64 |depth 3 |head 4 |drop 0.0,261066,0.8688241134444873,0.872442167299859,0.8703851722987596,365.59
4,ViT patch size 7 |dim 64 |depth 3 |head 8 |drop 0.0,449034,0.8672241549779971,0.8717260754488884,0.8699028168134628,522.85
5,ViT patch size 7 |dim 64 |depth 6 |head 8 |drop 0.0,892938,0.8639327875433491,0.869309368285727,0.8691607244834779,469.43
6,ViT patch size 14 |dim 64 |depth 3 |head 8 |drop 0.0,457674,0.8643614822747807,0.8655427081153748,0.8648340605246793,439.61
7,ViT patch size 7 |dim 64 |depth 3 |head 16 |drop 0.0,842250,0.8623421942542617,0.8651766370268579,0.8645914070165841,439.89
8,ViT patch size 7 |dim 64 |depth 3 |head 8 |drop 0.3,449034,0.8568077663553257,0.8619071890382056,0.8627543324877502,366.58
9,ViT patch size 14 |dim 10 |depth 6 |head 8 |drop 0.0,141528,0.8599279676955194,0.8638772810393192,0.8625260107836146,583.14
10,ViT patch size 14 |dim 64 |depth 3 |head 4 |drop 0.3,261066,0.8587733840664848,0.8635287272803327,0.8621992584626386,372.74
11,ViT patch size 7 |dim 10 |depth 3 |head 16 |drop 0.0,131934,0.85290761637638,0.8634490703014617,0.8615871643564503,433.95
12,ViT patch size 14 |dim 10 |depth 3 |head 8 |drop 0.0,71844,0.8583111328311265,0.8624905327216108,0.8608934104822243,431.02
13,ViT patch size 14 |dim 10 |depth 3 |head 4 |drop 0.0,41124,0.8553996239940325,0.8614007578251209,0.860232466193521,354.67
14,ViT patch size 14 |dim 10 |depth 6 |head 4 |drop 0.0,80088,0.854919295413047,0.8619607906075235,0.8598258065190285,455.48
15,ViT patch size 7 |dim 64 |depth 3 |head 4 |drop 0.3,252426,0.8533253484237939,0.8586602860942799,0.859720567077588,433.35
16,ViT patch size 14 |dim 128 |depth 3 |head 4 |drop 0.0,521738,0.8530051538000503,0.8606970051818706,0.8590184397568368,369.91
17,ViT patch size 2 |dim 64 |depth 3 |head 4 |drop 0.0,261066,0.8460578397731606,0.8583459858564619,0.8576664251506708,832.93
18,ViT patch size 7 |dim 64 |depth 6 |head 4 |drop 0.3,499722,0.850929260551681,0.8582064757321742,0.8574374036804127,558.45
19,ViT patch size 14 |dim 64 |depth 6 |head 4 |drop 0.0,508362,0.8577456102467453,0.8590077099964974,0.8572843871298869,461.98
20,ViT patch size 7 |dim 10 |depth 3 |head 8 |drop 0.0,70494,0.8509053498521448,0.8593834898890333,0.8571022100699176,504.78
21,ViT patch size 7 |dim 10 |depth 6 |head 8 |drop 0.0,140178,0.8470936304455001,0.8594424256936033,0.8568953588889663,461.08
22,ViT patch size 14 |dim 64 |depth 3 |head 8 |drop 0.3,457674,0.8553099039698641,0.8582519431697561,0.8564085603139964,446.39
23,ViT patch size 7 |dim 10 |depth 3 |head 8 |drop 0.0,70494,0.8471274528456852,0.8570432052016258,0.8546152844170857,357.37
24,ViT patch size 14 |dim 64 |depth 6 |head 4 |drop 0.3,508362,0.8514503186394771,0.8550093337259395,0.8537550437602268,484.08
25,ViT patch size 14 |dim 128 |depth 6 |head 4 |drop 0.0,1015946,0.8460959399019679,0.8560909998226673,0.8536783359612627,473.81
26,ViT patch size 14 |dim 10 |depth 16 |head 4 |drop 0.0,209968,0.8463096436861901,0.8545221104266796,0.8525680144121692,782.52
27,ViT patch size 7 |dim 64 |depth 16 |head 8 |drop 0.0,2372618,0.841957802040875,0.853593636034651,0.8523303375502301,851.71
28,ViT patch size 7 |dim 10 |depth 6 |head 4 |drop 0.0,78738,0.8411234296962619,0.8546808709806584,0.8520040159772156,540.75
29,ViT patch size 7 |dim 10 |depth 3 |head 4 |drop 0.0,39774,0.841358863964739,0.8528627665436014,0.8511333480762069,420.45
30,ViT patch size 7 |dim 64 |depth 6 |head 8 |drop 0.3,892938,0.8455149180933834,0.8500135412875641,0.8504332868156919,479.86
31,ViT patch size 14 |dim 128 |depth 3 |head 8 |drop 0.0,914954,0.8503030073617894,0.851266979346884,0.8504284287334247,448.32
32,ViT patch size 14 |dim 64 |depth 16 |head 4 |drop 0.0,1332682,0.8428911868508905,0.8488453488400642,0.8477146877794508,798.15
33,ViT patch size 2 |dim 64 |depth 3 |head 4 |drop 0.3,261066,0.832987167030573,0.846816956584758,0.8474830510320178,836.85
34,ViT patch size 7 |dim 128 |depth 3 |head 4 |drop 0.0,504458,0.8379755540803074,0.84807874531822,0.8474346396649718,425.95
35,ViT patch size 7 |dim 10 |depth 16 |head 8 |drop 0.0,372458,0.8271034149496506,0.8448886637675003,0.8446579921017786,839.83
36,ViT patch size 2 |dim 64 |depth 6 |head 4 |drop 0.0,508362,0.8351653213654334,0.8445334805136031,0.8444145430994642,1546.82
37,ViT patch size 14 |dim 10 |depth 6 |head 4 |drop 0.3,80088,0.827945789314434,0.8403780112558223,0.8395039442997829,467.08
38,ViT patch size 2 |dim 64 |depth 6 |head 4 |drop 0.3,508362,0.8227875130747757,0.8390164293190268,0.8394954195827437,1570.63
39,ViT patch size 14 |dim 64 |depth 16 |head 4 |drop 0.3,1332682,0.8339527192518116,0.8411154419817823,0.8394784956031545,839.25
40,ViT patch size 14 |dim 10 |depth 3 |head 8 |drop 0.3,71844,0.8284766310333584,0.8379744799847298,0.8373310056082003,440.62
41,ViT patch size 7 |dim 10 |depth 3 |head 16 |drop 0.3,131934,0.8145081996835769,0.8365472433097819,0.8367611752953499,443.06
42,ViT patch size 7 |dim 128 |depth 3 |head 4 |drop 0.3,504458,0.8298454074295858,0.8362702447366208,0.8366493582725525,430.27
43,ViT patch size 7 |dim 10 |depth 16 |head 4 |drop 0.0,208618,0.8135952665171275,0.8363161223999998,0.8356460707202839,867.61
44,ViT patch size 7 |dim 64 |depth 16 |head 8 |drop 0.3,2372618,0.8209915142643576,0.8315645571718825,0.8323016613721848,877.99
45,ViT patch size 7 |dim 64 |depth 16 |head 4 |drop 0.0,1324042,0.8214517321148579,0.8335480967734721,0.831273666422838,873.67
46,ViT patch size 14 |dim 128 |depth 3 |head 4 |drop 0.3,521738,0.8256058664947747,0.8305063404935472,0.8308215708109984,382.27
47,ViT patch size 14 |dim 10 |depth 3 |head 4 |drop 0.3,41124,0.8229966543604931,0.8308308706004569,0.8303160013286931,366.03
48,ViT patch size 7 |dim 10 |depth 6 |head 8 |drop 0.3,140178,0.8101857838625708,0.8285283913637729,0.8294976441723525,472.23
