,name,Number of param,Train f1,Val f1,Test f1,time(sec)
0,MLP_2 lay 0.10,468874,"[0.7979861393372217, 0.8300366885662079, 0.8304681292374929, 0.8367006694475809, 0.8394026650587718, 0.8408275892734528, 0.8438472021420796, 0.8428230322996775, 0.8424745982487997, 0.8443315320809682, 0.844658388376236, 0.8470348560810089, 0.8499976137479146, 0.8496439832846324, 0.8510434565544128, 0.849759923696518, 0.8536531473000845, 0.8521795419851939, 0.8459217443466186, 0.8527859491507213, 0.8536478554407756, 0.854497978925705, 0.8529918928146363, 0.8513129019737243, 0.8505382737318675]","[0.8374727621991583, 0.8344870330171382, 0.8228888318259665, 0.822450449809115, 0.8389408350624936, 0.841553105001754, 0.8165864671798463, 0.8344469698185616, 0.8377773263987075, 0.8443705404692508, 0.843036025128466, 0.8389553922287961, 0.8389326505204464, 0.8512424798087871, 0.8452773687053234, 0.8414933186896304, 0.8477828819701012, 0.8369601368904114, 0.8506705091988787, 0.8497217937986902, 0.8253091925636251, 0.8344848951760758, 0.8467658888152305, 0.835071916592882, 0.8411553346730293]","[0.8400936950543884, 0.8315613930392417, 0.8160579747455136, 0.8237428604417546, 0.833267825803939, 0.8387525825743463, 0.8099454808387028, 0.836099126156728, 0.8400039843692901, 0.8442646185303949, 0.8406811918422674, 0.8386987356623267, 0.8401348245371679, 0.848059056291155, 0.8445116869962899, 0.843171505411719, 0.8467072783761723, 0.8369052497444639, 0.8509329986420406, 0.8520067406308119, 0.8287215631478911, 0.8317293190652397, 0.8500838370839502, 0.8300148248672485, 0.8401113479000748]",676.74
1,MLP_2 lay 0.50,468874,"[0.6749832206269105, 0.7263930525779724, 0.7239747800429662, 0.7156907084782919, 0.7172141014734904, 0.7223504459063212, 0.7277936104138693, 0.7266056821346283, 0.7251029171148936, 0.7227273383140564, 0.7304006694952647, 0.7277565738360087, 0.7269362977345785, 0.7313512393633524, 0.7262745128472646, 0.7215174632867177, 0.7336511203447977, 0.7293612616062164, 0.7351308331489563, 0.7355504062970479, 0.7357800352573395, 0.7480314727624258, 0.7404084958235423, 0.7287384316921234, 0.7301914618810018]","[0.7341292665359822, 0.7181573037771468, 0.7187631637492078, 0.7095481867485858, 0.6837601553886494, 0.721664142735461, 0.720457264400543, 0.7201104931374813, 0.7392051581372606, 0.7158939705250111, 0.7259748391014464, 0.6965111002643057, 0.7072706320818435, 0.7193130882496529, 0.6815541744866269, 0.713296153126879, 0.7328570722899539, 0.7131576595154214, 0.7229826799098481, 0.7217018087493613, 0.7321878164372546, 0.7366038101150635, 0.7064931110498753, 0.7215244900038902, 0.704569029681226]","[0.7374803925016123, 0.7214342127939698, 0.7188389597425036, 0.7166400866903317, 0.6821763128232045, 0.7145456842556122, 0.7232755031555321, 0.7241574286655256, 0.7347566508183814, 0.7164018753987209, 0.7340572911083318, 0.6948353595035092, 0.7114366171466318, 0.7105805080407744, 0.6842470996698756, 0.7223251465779201, 0.7391694277335125, 0.7139996434472928, 0.7203036734632625, 0.726432346044832, 0.7302722365233549, 0.7324587736919428, 0.7107055508027411, 0.7262924632449059, 0.7045456353266528]",678.93
2,MLP_2 lay 0.80,468874,"[0.22320464649299782, 0.16369620112081368, 0.13595602513601382, 0.09297318305137257, 0.08025993956625462, 0.06645329420334505, 0.04361061279196292, 0.029563040961278604, 0.0326733714217941, 0.030040755515995745, 0.028516512709398135, 0.029104610442804792, 0.024165397836632716, 0.024622811076347718, 0.02492209211841691, 0.025493004406491916, 0.024316529780975545, 0.024214966283063404, 0.024676224739057943, 0.024615617438646344, 0.024933723355371817, 0.02500119678125096, 0.02417450485638498, 0.02481695255454785, 0.024186532140049774]","[0.20729637599768155, 0.19854261813328622, 0.1493504643143016, 0.19723647532667568, 0.18292341808332724, 0.19743259411622235, 0.19647373866408746, 0.19698177115555773, 0.1964315984477388, 0.19602553185788876, 0.1960655064619285, 0.0, 0.19552040404263646, 0.19601634038770768, 0.19681290192331405, 0.19622215518648636, 0.037613295930180146, 0.19595740462078692, 0.196931594863851, 0.1959002671386809, 0.19662165231606427, 0.1966299621903516, 0.0, 0.19554964656089532, 0.19645241098082128]","[0.21933441288816702, 0.20892659612711828, 0.1565351124591888, 0.20240100881286488, 0.17755771479361757, 0.20329662974757753, 0.20171256861679113, 0.20078271243033136, 0.20213856856534435, 0.20164720819681692, 0.20047178248738406, 1.4217469580234236e-05, 0.20055360330422972, 0.20315450062132945, 0.20061092217494347, 0.20137074697691543, 0.036250728662985905, 0.20112275479325822, 0.2014890401653803, 0.20068760486734902, 0.20055586314362706, 0.20093890790869096, 0.0, 0.20121795666303224, 0.20190154818023087]",660.83
3,MLP_3 lay 0.10,567434,"[0.7808595725670456, 0.8158570685386658, 0.8171291066805522, 0.8224367844263712, 0.8310492755572001, 0.8294593685468038, 0.8294770048459371, 0.8332244529724121, 0.8304676899909973, 0.8343371740976969, 0.8338787999153138, 0.8321172975699107, 0.83025008837382, 0.833514572540919, 0.8349296658039093, 0.8335804868539174, 0.8307849802970886, 0.8336146529515585, 0.8325095636844635, 0.8332042860984802, 0.8360374428431193, 0.8376601022084554, 0.8362451794942221, 0.8386157352924347, 0.8410882282257081]","[0.8104169650914821, 0.8220983683428866, 0.8018503388825883, 0.8119331921668763, 0.8204689105140403, 0.8115897118411166, 0.8215000886232295, 0.822009506377768, 0.8088012477184864, 0.8171640282615702, 0.8102352622341602, 0.8131168852461145, 0.8207301865232751, 0.7996411320376904, 0.8171111643314362, 0.8161192216137623, 0.8102536036613139, 0.8295594136765663, 0.8041629128633662, 0.8255737636317598, 0.8220534657544278, 0.8258694489585593, 0.8210716339501929, 0.8311756912698137, 0.8268277511951772]","[0.8112666363928728, 0.8184842987425008, 0.8142263259098028, 0.8112888203305044, 0.8216183326046937, 0.8116709221700195, 0.8188795109463346, 0.8210120269447375, 0.8136915108960145, 0.8165208139237324, 0.8127086257478994, 0.8150291663066597, 0.8279438945138531, 0.8015789613602268, 0.81683494786548, 0.8126034045674998, 0.8127879675026912, 0.8272150341112903, 0.8026938389061363, 0.8280714180818789, 0.8187230597635743, 0.8251723874906066, 0.8202452663403408, 0.8308124234721919, 0.825183002052793]",673.64
4,MLP_3 lay 0.50,567434,"[0.5369875359324118, 0.46729683442910513, 0.41964312561353045, 0.3935009987950325, 0.3657361560066541, 0.3443391908208529, 0.3168039456208547, 0.2945551544825236, 0.2995471119582653, 0.3156723533074061, 0.30433956000208856, 0.2960318773786227, 0.3031550315916538, 0.2894591144224008, 0.28214903207619985, 0.2999845240314801, 0.3243001244366169, 0.31242020171880724, 0.31675377293427787, 0.2915934833486875, 0.29298674980799355, 0.2907356547117233, 0.29456107450524965, 0.2921384949684143, 0.2814045552064975]","[0.4645078902707455, 0.43649789429408437, 0.34656491764682407, 0.3831181232123933, 0.35716505110897917, 0.2776659229730672, 0.3032796704705725, 0.32682646232399537, 0.23836833535832294, 0.27049762212691153, 0.2822326869961429, 0.24608776536076626, 0.28847012946263273, 0.24108206932532025, 0.28073617792192923, 0.3179328337787314, 0.29644858222851095, 0.26998101650400363, 0.28867804936747604, 0.26000280927945957, 0.28187637308493574, 0.24826270831312905, 0.2609577318851618, 0.2476430217081562, 0.23606131221861282]","[0.47000964754705976, 0.44567983317527043, 0.3561307662611554, 0.39460070715968015, 0.34793825998048117, 0.2865595083897281, 0.2957555760813367, 0.33341738126080506, 0.2482888357962962, 0.28252022452415176, 0.2821851423971213, 0.25904486717502023, 0.2800539016343985, 0.24085282223524562, 0.28910376757952816, 0.32074027769504837, 0.2980916394739394, 0.270861005422416, 0.2945209500516296, 0.2629746958423572, 0.2925681811609086, 0.25063014486033447, 0.2665120958332803, 0.252627371555301, 0.243234169236414]",694.89
5,MLP_3 lay 0.80,567434,"[0.045917223432450555, 0.02676036768623938, 0.027393818366341294, 0.025067077813165573, 0.025592222004934835, 0.024963380289729685, 0.024738070715257587, 0.024031538753809097, 0.024532595958638315, 0.02470785755784406, 0.024621883601144267, 0.02468557414796669, 0.024360575471810687, 0.024660009558467814, 0.02358401452016551, 0.02457817648607306, 0.02465201555460226, 0.024706361862209935, 0.023962990948425918, 0.023976825449693328, 0.023963203768090656, 0.025196727524356297, 0.024643730599239157, 0.024651060686795973, 0.024713949468724117]","[0.187662846706015, 0.19568821197336025, 0.19629181952195915, 0.19686024141636618, 0.010761367434516866, 0.0, 0.0, 0.19604607831013013, 0.1964191990270418, 0.19639564870282056, 0.1927104637205125, 0.1966543482576913, 0.1911924569471244, 0.19649695193870587, 0.1959999217255477, 0.0008976063988310226, 0.1961312419239511, 0.19604139173641166, 0.0, 0.0, 0.19637036891257825, 0.19628633594417827, 0.19632762323747924, 0.195870419657056, 0.19647609931912194]","[0.1936539827733283, 0.20122664103842086, 0.2013898485927445, 0.20152243672852305, 0.004916066766544512, 0.0, 0.0, 0.20215561416498415, 0.2014639782037135, 0.2008220141955242, 0.1974786831196516, 0.20181878428360459, 0.1949552740593245, 0.20263132932269648, 0.20113024419280373, 0.0018640257370699743, 0.2013251360054988, 0.20231857340616785, 0.0, 0.0, 0.20311528369547074, 0.20040282724531971, 0.20179999652941516, 0.2016612590308402, 0.20118135308763782]",667.69
6,MLP_1 batch ,102026,0.8888615951140721,0.8755976820879795,0.8743711248021216,678.60
7,MLP_3 batch,569226,0.889424081392288,0.878636613843289,0.8759326690625232,721.39
8,MLP_3,567434,0.8905210945034028,0.8798910488854064,0.8790445916060429,682.01
9,MLP_2,468874,0.8916327833644551,0.8804845645453068,0.8787985865173826,686.46
